abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
ability	n. 能力，能耐；才能
able	adj. 能；[经管] 有能力的；能干的n. (Able)人名；(伊朗)阿布勒；
abnormal	adj. 反常的，不规则的；变态的
aboard	adv. 在（飞机、火车、船）上；骑在（马）上；（喻）新入伙；（棒球）在垒上prep. 在 （船或飞机）上
abolish	vt. 废除，废止；取消，革除
abortion n. 1. 流产，小产，堕胎 2. (计划、工程等的)中途失败;中止，中辍的计划
about	adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于
above	adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出
abroad	adv. 在国外；到海外adj. 往国外的n. 海外；异国
abrupt	adj. 生硬的；突然的；唐突的；陡峭的
absence	n. 没有；缺乏；缺席；不注意
absent	adj. 缺席的；缺少的；心不在焉的；茫然的vt. 使缺席
absolute	adj. 绝对的；完全的；专制的n. 绝对；绝对事物
absolutely	adv. 绝对地；完全地
absorb	vt. 吸收；吸引；承受；理解；使…全神贯注
abstract	’æbstrækt/ n.摘要
absurd	adj. 荒谬的；可笑的n. 荒诞；荒诞作品
abundance	n. 充裕，丰富
abundant	adj. 丰富的；充裕的；盛产的
abuse	n. 滥用；虐待；辱骂；弊端；恶习，陋习vt. 滥用；虐待；辱骂n.
academic	adj. 学术的；理论的；学院的n. 大学生，大学教师；学者
academy	n. 学院；研究院；学会；专科院校
accelerate	vt. 使……加快；使……增速vi. 加速；促进；增加
acceleration	n. 加速，促进；[物] 加速度；跳级
accent	n. 口音；重音；强调；特点；重音符号vt. 强调；重读；带…口音讲话
accept	vt. 接受；承认；承担；承兑；容纳vi. 承认；同意；承兑
acceptable	adj. 可接受的；合意的；可忍受的
acceptance	n. 接纳；赞同；容忍
access	n.通路,访问,入门vt.存取,接近
accessory	n. 配件；附件；[法] 从犯adj. 副的；同谋的；附属的
accident	n. 事故；意外；[法] 意外事件；机遇
accidental	adj. 意外的；偶然的；附属的；临时记号的n. 次要方面；非主要的特性；临时记号
accommodate	vt. 容纳；使适应；供应；调解vi. 适应；调解
accommodation	n. 住处，膳宿；调节；和解；预订铺位
accompany	vt. 陪伴，伴随；伴奏vi. 伴奏，伴唱
accomplish	vt. 完成；实现；达到
accord	n. 符合；一致；协议；自愿vt. 使一致；给予vi. 符合；一致
accordance	n. 按照，依据；一致，和谐
accordingly	adv. 因此，于是；相应地；照着
account	n. 账户；解释；账目，账单；理由；描述vi. 解释；导致；报账vt. 认为；把…视为
accumulate	vi. 累积；积聚vt. 积攒
accuracy	n. [数] 精确度，准确性
accurate	adj. 精确的
accuse	vt. 控告，指控；谴责；归咎于vi. 指责；控告
accustom	v. 使习惯于，使适应
accustomed	adj. 习惯的；通常的；独有的v. 使习惯于（accustom的过去分词）
ache	n.疼痛vi.觉得疼痛,渴望
achieve	vt. 取得；获得；实现；成功vi. 达到预期的目的，实现预期的结果，如愿以偿
achievement	n. 成就；完成；达到；成绩
acid	n. 酸；俚迷幻药adj. 酸的；讽刺的；刻薄的
acknowledge	vt. 承认；答谢；报偿；告知已收到
acquaint	vt. 使熟悉；使认识
acquaintance	n. 熟人；相识；了解；知道
acquire	vt. 获得；取得；学到；捕获
acquisition	n. 获得物，获得；收购
acre	n. 土地，地产；英亩
across	adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边
act	n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
action	n. 行动；活动；功能；战斗；情节n. （Action）（英）埃克申（人名）
activate	vt. 刺激；使活动；使活泼；使产生放射性vi. 激活；有活力
active	adj. 积极的；活跃的；主动的；有效的；现役的n. 主动语态；积极分子
activity	n. 活动；行动；活跃
actor	n. 男演员；行动者；作用物
actress	n. 女演员
actual	adj. 真实的，实际的；现行的，目前的
actually	adv. 实际上；事实上
acute	adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的
ad	abbr. 优势 (advantage)n. 广告；促销活动；预告片
adapt	vt. 使适应；改编vi. 适应
add	vi. 加；增加；加起来；做加法vt. 增加，添加；补充说；计算…总和n. 加法，加法运算
addict n. 1. 有瘾的人 2. 对某事有强烈兴趣的人
addition	n. 添加；[数] 加法；增加物
additional	adj. 附加的，额外的
address	n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事, 忙于
adequate	adj. 充足的；适当的；胜任的
adhere	vi. 坚持；依附；粘着；追随vt. 使粘附
adjacent	adj. 邻近的，毗连的
adjective	adj. 形容词的；从属的n. 形容词
adjoin	vi. 毗连，邻接vt. 毗连，邻接
adjust	vt. 调整，使…适合；校准vi. 调整，校准；适应
administer	vt. 管理；执行；给予vi. 给予帮助；执行遗产管理人的职责；担当管理人
administration	n. 管理；行政；实施；行政机构
admire	vt. 钦佩；赞美vi. 钦佩；称赞
admission	n. 承认；入场费；进入许可；坦白；录用
admit	vt. 承认；准许进入；可容纳vi. 承认；容许
adolescent	adj. 青春期的；未成熟的n. 青少年
adopt	vt. 采取；接受；收养；正式通过vi. 采取；过继
adore v. 1. 敬慕，钟爱，崇拜 2. (infml)很喜欢
adult	adj. 成年的；成熟的n. 成年人
advance	n. 发展；前进；增长；预付款vt. 提出；预付；使……前进；将…… 提前vi. 前进；进展；上涨adj. 预先的；先行的
advanced	adj. 先进的；高级的；晚期的；年老的v. 前进；增加；上涨
advantage	n. 优势；利益；有利条件vi. 获利vt. 有利于；使处于优势
advent	n. 到来；出现；基督降临；基督降临节
adventure	n. 冒险；冒险精神；投机活动vt. 冒险；大胆说出vi. 冒险
adverb	n. 副词adj. 副词的
adverse	adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
advertise	vt. 通知；为…做广告；使突出vi. 做广告，登广告；作宣传
advertisement	n. 广告，宣传
advice	n. 建议；忠告；劝告；通知
advisable	adj. 明智的，可取的，适当的
advise	vt. 建议；劝告，忠告；通知；警告vi. 建议；与…商量
advocate	ˈædvəkət/ v. 提倡，拥护；为……辩护n. 拥护者；辩护者；辩护律师，出庭律师；律师；为（某团体）谋利益者
aerial	adj. 空中的，航空的；空气的；空想的n. [电讯] 天线
aero	adj.航空的,飞行的,飞机的
aeroplane	n. 飞机（等于airplane）
aesthetic	adj. 美的；美学的；审美的，具有审美趣味的n. 审美；美学
affair	n. 事情；事务；私事；（尤指关系不长久的）风流韵事
affect	vt. 影响；感染；感动；假装vi. 倾向；喜欢n. 情感；引起感情的因素
affection	n. 喜爱，感情；影响；感染
affiliate	v. （使）附属，隶属；加入，加盟，并入；接纳；紧密联系n. 分支机构；子公司；分社；联号
affirm	vt. 肯定；断言vi. 确认；断言
afflict	vt. 折磨；使痛苦；使苦恼
afford	vt. 买得起；给予，提供n. (Afford) （英、美）阿福德（人名）
afraid	adj. 害怕的；恐怕；担心的
Africa	n. 非洲
African	adj. （与）非洲（有关）的；非洲人的n. 非洲人（尤指黑人）；非洲黑人后裔
after 1. prep.在…以后 2. 次于
afternoon	n. 午后，下午
afterward	adv. 以后，后来
again	adv. 又，此外；再一次；再说；增加n. （英、保）阿盖恩
against	prep.相反,反对,逆着,靠着,倚着
age	n.年龄；时代；寿命，使用年限；阶段vi. 成熟；变老vt. 使成熟；
agency	n. 代理，中介；代理处，经销处；作用
agenda	n. 议程；日常工作事项；日程表
